atleta_id,cobra_falta,cobra_penalti,cobra_escanteio
63177,0,1,0
90061,1,0,1
80373,1,0,1
91917,1,0,0
38230,0,1,0
38394,0,1,0
86766,1,0,1
69705,0,0,1
91687,0,0,1
38162,0,1,0
38246,0,1,1
81682,1,0,1
84382,1,0,0
83004,1,0,1
80944,1,0,0
63013,0,0,1
68784,1,1,0
38150,1,0,1
83791,1,0,1
84585,1,1,1
72386,0,1,0
71937,1,0,1
82647,1,0,1
62009,1,1,1
79578,0,1,0
86410,1,0,1
69095,1,0,1
78850,1,1,1
81798,1,0,1
38315,1,1,1
38138,0,1,0
42500,1,0,1
94154,1,0,1
68773,0,1,0
40179,0,1,0
38852,1,0,1
82634,1,0,1
70058,1,0,1
88417,1,0,1
37798,0,1,1
91094,0,1,0
87863,1,0,0
62104,1,0,1
38277,1,0,1
38909,1,1,1
75295,1,1,0
50301,1,0,1
91264,1,0,0
73421,1,0,0
95738,0,0,1
71066,0,0,1
81905,0,1,0
87999,1,1,1
92081,0,1,0
87877,1,0,1
86759,1,1,1
78371,0,1,1
38523,1,0,0
78715,1,0,0
62047,1,1,1
86120,0,1,0
68920,1,0,1
37607,0,0,1
38910,1,1,0
80583,1,1,1
87552,1,0,1
82411,0,1,0
73649,1,1,0
73619,0,0,1
68911,1,1,0
68950,0,1,0
68690,0,1,0
95539,1,0,1
86519,0,0,1
38913,1,1,1
95876,1,0,1
80196,0,0,1
68930,0,1,0
38530,1,1,0
72490,1,0,0
60969,0,0,1
85040,0,0,1
